k,patient_doctor_overlap,patient_cs_overlap,patient_feature_importance_overlap
45,0.8222222222222222,0.6666666666666666,0.4888888888888889
46,0.8478260869565217,0.6739130434782609,0.5
47,0.851063829787234,0.6595744680851063,0.5319148936170213
48,0.8333333333333334,0.6666666666666666,0.5416666666666666
49,0.8163265306122449,0.673469387755102,0.5510204081632653
50,0.84,0.68,0.58
51,0.8431372549019608,0.6862745098039216,0.5882352941176471
52,0.8653846153846154,0.7115384615384616,0.5769230769230769
53,0.8867924528301887,0.7358490566037735,0.5849056603773585
54,0.8703703703703703,0.7407407407407407,0.5740740740740741
55,0.8727272727272727,0.7454545454545455,0.5636363636363636
56,0.875,0.7321428571428571,0.5714285714285714
57,0.8596491228070176,0.7192982456140351,0.5789473684210527
58,0.8793103448275862,0.7241379310344828,0.5862068965517241
59,0.864406779661017,0.7457627118644068,0.5932203389830508
60,0.8666666666666667,0.75,0.6
61,0.8852459016393442,0.7540983606557377,0.5901639344262295
62,0.8870967741935484,0.7580645161290323,0.6129032258064516
63,0.8888888888888888,0.7619047619047619,0.6190476190476191
64,0.875,0.765625,0.640625
65,0.8769230769230769,0.7538461538461538,0.6307692307692307
66,0.8636363636363636,0.7575757575757576,0.6363636363636364
67,0.8507462686567164,0.7611940298507462,0.6268656716417911
68,0.8529411764705882,0.7647058823529411,0.6176470588235294
69,0.8695652173913043,0.7536231884057971,0.6231884057971014
70,0.8714285714285714,0.7428571428571429,0.6285714285714286
71,0.8591549295774648,0.7323943661971831,0.6338028169014085
72,0.8611111111111112,0.7361111111111112,0.6388888888888888
73,0.863013698630137,0.726027397260274,0.6438356164383562
74,0.8648648648648649,0.7297297297297297,0.6351351351351351
75,0.8666666666666667,0.7466666666666667,0.64
76,0.8552631578947368,0.7631578947368421,0.6447368421052632
77,0.8571428571428571,0.7662337662337663,0.6363636363636364
78,0.8589743589743589,0.782051282051282,0.6282051282051282
79,0.8481012658227848,0.7848101265822784,0.6455696202531646
80,0.85,0.7875,0.65
81,0.8518518518518519,0.7901234567901234,0.654320987654321
82,0.8536585365853658,0.7926829268292683,0.6707317073170732
83,0.8554216867469879,0.7951807228915663,0.6867469879518072
84,0.8571428571428571,0.8095238095238095,0.6904761904761905
85,0.8588235294117647,0.8235294117647058,0.6823529411764706
86,0.8604651162790697,0.813953488372093,0.6976744186046512
87,0.8620689655172413,0.8160919540229885,0.7011494252873564
88,0.875,0.8295454545454546,0.7159090909090909
89,0.8876404494382022,0.8426966292134831,0.7191011235955056
90,0.8888888888888888,0.8333333333333334,0.7333333333333333
91,0.9010989010989011,0.8461538461538461,0.7362637362637363
92,0.9130434782608695,0.8478260869565217,0.75
93,0.9139784946236559,0.8494623655913979,0.7526881720430108
94,0.925531914893617,0.8617021276595744,0.7659574468085106
95,0.9263157894736842,0.8631578947368421,0.7684210526315789
96,0.9375,0.875,0.7604166666666666
97,0.9278350515463918,0.8762886597938144,0.7731958762886598
98,0.9285714285714286,0.8775510204081632,0.7755102040816326
99,0.9292929292929293,0.8686868686868687,0.7878787878787878
100,0.92,0.86,0.79
101,0.9207920792079208,0.8712871287128713,0.801980198019802
102,0.9215686274509803,0.8725490196078431,0.8137254901960784
103,0.9320388349514563,0.883495145631068,0.8252427184466019
104,0.9326923076923077,0.8846153846153846,0.8269230769230769
105,0.9333333333333333,0.8952380952380953,0.8285714285714286
106,0.9433962264150944,0.9056603773584906,0.839622641509434
107,0.9439252336448598,0.9158878504672897,0.8504672897196262
108,0.9351851851851852,0.9259259259259259,0.8611111111111112
109,0.944954128440367,0.926605504587156,0.8623853211009175
