module_key,checkpoint_path,rf_importance,rf_importance_rank,mean_cs_unigram_avg_single,mean_doctor_unigram_avg_single,mean_patient_unigram_avg_single
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.0039153525089044424,49,8.766666666666666,6.144444444444444,4.677777777777777
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.00376300598186923,50,8.854700854700855,6.136752136752137,4.666666666666666
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.003504280436791556,51,8.421052631578947,5.4795321637426895,3.812865497076024
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0028521032656266764,52,8.654320987654323,6.123456790123457,3.864197530864198
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0027882227477617487,53,8.228070175438596,5.333333333333334,3.9356725146198825
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0026886053314693044,54,8.583333333333332,5.625,4.027777777777778
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0026809679016503098,55,8.555555555555557,5.830065359477125,4.183006535947713
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0024000683067225232,56,9.070312499999998,6.513888888888889,5.090277777777778
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0023422676178557673,57,8.816666666666666,6.205555555555556,4.7333333333333325
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.0022913539669969173,58,8.265432098765432,5.450617283950617,3.9567901234567904
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.002193779950256007,59,8.49074074074074,6.055555555555556,4.62962962962963
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0021524913588007967,60,8.75,5.8055555555555545,3.861111111111111
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.002142307233768402,61,8.444444444444445,5.185185185185186,3.5555555555555554
